customer_id,company_name,contact_email,industry,company_size,acquisition_date,acquisition_channel,acquisition_cost,geography,seats_tendency,upgrade_tendency,budget_factor,has_trial,trial_start_date,trial_end_date,referred_by_customer_id
7d4bd7ee-0d6a-451a-874f-e7cf7f1a3798,Arroyo LLC,ddunlap@example.com,Education,Small (11-50),2024-10-30,Direct,220.82517440274944,Europe,1.5,1.0,1.0,False,,,a8e86f10-8048-45fb-883b-e5a47c687e71
397be67e-ac62-4abb-a2cb-ac35e2f40524,Long-Garrett,qbarker@example.com,Finance,Small (11-50),2022-08-26,Free Trial,132.87230564134256,Latin America,1.5,1.0,1.0,True,2022-08-19,2022-08-31,3e0b0c45-ab58-4d61-9e88-618e2680f6fd
9b3d5ff0-1660-43ee-9527-6aa6a4969dec,Jones-Thomas,olowery@example.org,Consulting,Large (201-1000),2022-10-25,Content Marketing,249.17384622948742,Europe,3.0,1.5,2.0,True,2022-10-19,2022-10-31,c5b6fc38-b2f8-44c3-acf6-7d65680997fe
963dc50e-7601-4463-9055-4a7b9583f55f,"Hill, Miller and Thomas",ortizcristina@example.net,Legal,Medium (51-200),2022-11-24,Paid Search,501.9115380434713,Latin America,2.0,1.3,1.5,False,,,
50011bba-0a1f-4e0d-b35d-1f622410c52c,"Johnson, Rose and Collins",stricklandjohn@example.com,Non-profit,Small (11-50),2022-12-08,Content Marketing,123.06064716304162,Latin America,1.5,1.0,1.0,False,,,4162bb8e-a179-4bdf-bca6-36a72ec4f5e7
afe0b864-3841-40e3-ae1d-67f4461ae0c7,"Lambert, Schmidt and Brown",cindyrodriguez@example.org,Marketing,Large (201-1000),2023-03-03,Cold Outreach,123.06226347918619,Europe,3.0,1.5,2.0,False,,,
597dc11a-9c67-4731-a9c8-7325abe42801,White Inc,vandrews@example.org,Education,Enterprise (1000+),2024-03-23,Free Trial,524.9852948584498,Latin America,5.0,1.2,3.0,False,,,
d3cf3a58-6702-47d1-932b-2fd899fb61dd,"Trujillo, Jones and Barron",castillobarry@example.net,Media,Small (11-50),2024-03-22,Referral,274.2246835513689,North America,1.5,1.0,1.0,False,,,
3b6b6a3a-8bbd-4745-9a49-25100ce163e9,West Group,pamela16@example.com,Manufacturing,Large (201-1000),2023-09-09,Free Trial,101.94367870788925,Europe,3.0,1.5,2.0,True,2023-09-05,2023-09-28,
1ca61f06-e909-4450-8a2a-c59fa029d369,Rhodes-Morgan,yesenia45@example.com,Healthcare,Startup (1-10),2024-10-18,Free Trial,229.0746733432905,Europe,1.2,0.8,0.7,False,,,
02f3d06d-f4d5-434c-b7f8-80e5b143dd47,"Gonzales, Clark and Daniels",melissatrujillo@example.net,Retail,Startup (1-10),2024-04-24,Referral,102.43883059452695,Europe,1.2,0.8,0.7,False,,,
f8919771-248a-44bb-b7a6-a1dbe20300fd,Wolfe-Thompson,aaron62@example.org,Media,Small (11-50),2022-01-20,Organic Search,102.24952987816611,Other,1.5,1.0,1.0,True,2022-01-16,2022-02-08,
