subscription_id,customer_id,plan_name,billing_frequency,monthly_price,seats,start_date,end_date,subscription_type,churn_reason,add_ons
c9426b4c-b175-492f-be5e-0d6dbe5d5362,7d4bd7ee-0d6a-451a-874f-e7cf7f1a3798,Starter,monthly,29.0,1,2024-11-01,2025-01-18,initial,Merger/acquisition,[]
91709e30-c440-49d6-a418-2e4a9770bd22,397be67e-ac62-4abb-a2cb-ac35e2f40524,Professional,annual,41.65,1,2022-09-10,2022-12-02,initial,Better alternative found,[]
3236d133-5860-4e07-95dc-ee6f3e664e8d,9b3d5ff0-1660-43ee-9527-6aa6a4969dec,Enterprise,monthly,754.0,14,2022-11-17,2023-06-13,initial,Low usage,[]
9dc01aa5-2702-410d-a69b-78537c5e3e96,9b3d5ff0-1660-43ee-9527-6aa6a4969dec,Enterprise,monthly,929.0,19,2023-02-19,2023-06-13,seat_expansion,Low usage,[]
6648d1b7-29e9-43fc-8a27-0ab7b188d54e,9b3d5ff0-1660-43ee-9527-6aa6a4969dec,Enterprise,monthly,1069.0,23,2023-05-14,2023-06-13,seat_expansion,Low usage,[]
1d0916b6-342f-4edc-ab3e-e848d8762f99,963dc50e-7601-4463-9055-4a7b9583f55f,Professional,monthly,94.0,4,2022-11-27,2023-10-12,initial,Poor support,[]
b2c25d95-eca2-49ba-8ad0-0c193017a572,963dc50e-7601-4463-9055-4a7b9583f55f,Professional,monthly,124.0,6,2023-02-12,2023-10-12,seat_expansion,Poor support,[]
f8ef98a1-e083-4607-860a-ff191fbbce92,963dc50e-7601-4463-9055-4a7b9583f55f,Professional,monthly,184.0,10,2023-09-08,2023-10-12,seat_expansion,Poor support,[]
2b665fe3-2965-4e20-b26a-1e59f0ed1041,50011bba-0a1f-4e0d-b35d-1f622410c52c,Professional,monthly,79.0,3,2022-12-09,2027-04-21,initial,Merger/acquisition,[]
800b14a1-a766-46ff-bd01-204454bc7da6,50011bba-0a1f-4e0d-b35d-1f622410c52c,Professional,monthly,154.0,8,2023-04-30,2027-04-21,seat_expansion,Merger/acquisition,[]
b6e7623b-d716-4378-8420-18c3a46c8f39,50011bba-0a1f-4e0d-b35d-1f622410c52c,Business,monthly,274.0,8,2023-07-18,2027-04-21,plan_upgrade,Merger/acquisition,[]
70182f33-6eff-4bc2-bc49-3f1835e5d306,50011bba-0a1f-4e0d-b35d-1f622410c52c,Business,monthly,299.0,9,2023-10-23,2027-04-21,seat_expansion,Merger/acquisition,[]
5eef47d9-0ffe-4dbd-ae79-f517eba8de6c,50011bba-0a1f-4e0d-b35d-1f622410c52c,Business,monthly,424.0,14,2024-02-17,2027-04-21,seat_expansion,Merger/acquisition,[]
98adba3b-89c4-4eb6-8c3f-6be80e4496d0,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,355.5,6,2023-03-13,2026-06-06,initial,Competitor switch,[]
a75c9767-893c-4084-b5da-bc5075fb8b8c,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,381.75,7,2023-05-31,2026-06-06,seat_expansion,Competitor switch,[]
5d04885a-5929-4115-bdce-5d7ca12fb182,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,513.0,12,2023-08-27,2026-06-06,seat_expansion,Competitor switch,[]
a703815d-6458-431b-b7fb-7dd6a495d913,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,565.5,14,2023-11-02,2026-06-06,seat_expansion,Competitor switch,[]
be87bf7e-6e69-4784-891e-7edd9aba30eb,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,644.25,17,2024-04-28,2026-06-06,seat_expansion,Competitor switch,[]
64fc0cc3-f94b-4fe9-a54a-1e462e203ad4,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,696.75,19,2024-07-10,2026-06-06,seat_expansion,Competitor switch,[]
c741f441-8739-4eff-a6b7-cb9cd9ca96c1,afe0b864-3841-40e3-ae1d-67f4461ae0c7,Enterprise,annual,723.0,20,2024-11-29,2026-06-06,seat_expansion,Competitor switch,[]
1677faf7-7397-465d-81e1-9bfef7978d19,597dc11a-9c67-4731-a9c8-7325abe42801,Enterprise,annual,513.0,12,2024-03-23,2024-10-13,initial,Technical issues,[]
7747bfc6-9661-46a6-be2b-bf4674626280,597dc11a-9c67-4731-a9c8-7325abe42801,Enterprise,annual,591.75,15,2024-09-06,2024-10-13,seat_expansion,Technical issues,[]
34e89967-c467-461e-a984-2521436f3059,d3cf3a58-6702-47d1-932b-2fd899fb61dd,Professional,monthly,79.0,3,2024-03-25,2024-08-20,initial,Poor onboarding,[]
5bc289f2-516e-481f-b26d-384c9f6db46e,3b6b6a3a-8bbd-4745-9a49-25100ce163e9,Enterprise,monthly,404.0,4,2023-09-29,2024-08-04,initial,Price sensitivity,[]
deb55b6c-ed0b-4ccf-8150-f7bb89b456b1,3b6b6a3a-8bbd-4745-9a49-25100ce163e9,Enterprise,monthly,544.0,8,2024-03-27,2024-08-04,seat_expansion,Price sensitivity,[]
8fa38ddb-dc9b-49fe-ac30-4c575c82478d,3b6b6a3a-8bbd-4745-9a49-25100ce163e9,Enterprise,monthly,649.0,11,2024-07-28,2024-08-04,seat_expansion,Price sensitivity,[]
4976e235-8cc1-422e-a7cd-84d1894fe3cf,1ca61f06-e909-4450-8a2a-c59fa029d369,Starter,monthly,29.0,1,2024-10-18,2025-01-02,initial,Merger/acquisition,[]
85ebb264-7957-43a0-a690-b0e1e7048815,02f3d06d-f4d5-434c-b7f8-80e5b143dd47,Professional,annual,41.65,1,2024-05-07,2027-12-10,initial,Poor support,[]
